tweet  ;etiket;
hep türkiye için kazanacağız korona virüsü böyle yeniceğiz  ;p;
sınava gelmiyorum sınavlar i̇ptaledilsin  ;n;
online eğitim de korona gibi bitmiyor bıktık ;n;
korona bitsin ufak duman konserine kaçmalı özlendi ;p;
korona olduktan sonra kim iyi gün dostu kim kötü gün dostu görmüş oldum ;nt;
iyi gün dostlarını hayatımdan çıkardım yani bütün mikroplardan arındım korona işlemez bana ;p;
korona can kaybı artıyor ;n;
devamlı hasta sayısından bahsedip düşüş diye haber yapılıyor ;n;
benim aklım almıyor ;n;
sınavlar iptal olmaz ise korona olacağım bir sınav uğruna ;n;
korona virüsü dolayısıyla kardeşimiz hayatını kaybetmiştir sınav yaparsak böyle sonuçlar alacağız sınavlar i̇ptal edilsin ;n;
korona çıktığından beri kendimi kısıtlamadım işe gittim bütün arkadaşlarımla görüşmeye devam ettim derken koronaya kendi evimde yakalandım ;n;
yeni tip korona virüse inanmıyorum sadece insanların gözünü korkutmak için yeni canavar geliyormuş gibi göstermeye çalışıyorlar ;n;
korona virüs çocuklarda kalp ve böbrek yetmezliği gibi sorunlara yol açıyomuş ;nt;
tükendim korona yüzünden ;n;
düşünsenize bir sabah her şey bitmiş uyanmışız herkes mutlu ;p;
çok sevdiğimiz aile dostumuzu korona yüzünden toprağa verdik ;n;
sınav ortamı riskli keyfine sınava girmek için korona kapmaya gerek yok ;n;
korona git artık ben yüzme kursuna gitmek istiyorum ;p;
okullar açılsın arkadaşlarımı özledim ;p;
korona bi̇tse de arkadaşımla kahve i̇çmeye gi̇tsem ;p;
her türlü zorluğu öğrenciler çektik ama korona belası yüzünden son halini görmek nasip olmadı ;n;
aşırı özledim ;p;
korona bana da bulaş artık gezip tozmaktan sıkıldım bahane ile evde yatmış olurum ;nt;
ülkedeki ilk korona vakası çıktığında maskeyle çıkılacak diyenlerle dalga geçmemi aşamıyorum ;n;
sınav stresi korona olma kaygısı ve korona olursak ölüm korkusu bulaştırınca çekilen vicdan azabını söylemiyorum diyelim ;n;
korona ne zaman bitecek  perişan olduk ;n;
kötü dönemden geçtiğimizi koronadan vefat eden eşimizin dostumuzun cenazesine gidemeyince anladım hayatımızı kararttın korona ;n;
korona bitince inşallah nasip olur ;p;
yorumlara baktım çok üzüldüm ;n;
korona virüsten daha tehlikeli insanlar var ;n;
korona salgın hastalığı türkiyenin yetiştirdiği müthiş bir değerini daha erken yaşta aramızdan aldı gerçekten çok üzgünüm ;n;
sınavlardan sonra rahat ederim dedim korona oldum atlattıktan sonra sınavlar başladı teşekkür ederim ;p;
ne lanetsin korona sayende kaldık soğuk ellerde ;n;
korona olmasaydı haberlerde adanaya kamyonla kar getirten belediye başkanı izleseydik ;p;
koronayı yendi sahalara döndü ;p;
korona bitti haberini dinleyeceğim gün umut hep var ;p;
sınavlar i̇ptal edilsin ;n;
niye içimdeki ses korona olduğumu söylüyor ;nt;
korona testi zormuş sabah yaptırdım daha burnum sızlıyor ;n;
korona haberlerini görmekten bıktığım yetmiyormuş dersim için afişini yapıyorum vallahi bezdim ;n;
korona bit artık ;n;
bit artık defol git korona ;n;
karşı komşumuz korona olmuş aylardır evden çıkamamama rağmen tekrar bana bulaşırsa yakarım buraları ;n;
sinema izlemeyi çok özledim ;p;
okulum hastanenin yanında sınavlar i̇ptal edilsin ;n;
evde olmama rağmen gelen kargolar yüzünden korona olacağım korkusunu yaşıyorum ;n;
allahım korona falan uğraştırma direkt kıyameti kopart ;nt;
sınavların iptal olması en mantıklı çözümdür kimsenin korona olmasına gerek yok ;p;
vakanın düştüğüne ve iyiye gittiğine inanmıyorum ;n;
korona günlerinde insanlara gönderilen noel kartı sayısında rekor kırıldı ;p;
sınav takvimi atmışlar sınavlar iptal edilsin ;n;
eskiden korona deyince aklıma bira gelirdi şimdi kızıyorum ;n;
arkadaşım korona virüs test sonucunun pozitif çıktığını duyurdu ;nt;
korona aşısı olmak i̇sti̇yorum ;p;
lütfen temasları azaltın evde kal ;nt;
dünyaya umut olan korona aşısını buldu ;p;
öğrencim evimin önünden geçerken apartmanımın resmini atıp bir cama çıksanız da sizi görsem hasret kaldım neşenize yazmış iyiki öğretmenim ;p;
bu korona ve ekonomik krizde riske girip evlenenleri tebrik ediyorum ;p;
salgının başladığı bu güne kadar korona virüsten hayatını kaybedenlerin sayısı artıyor ;n;
sınava hayır ;n;
korona virüse karşı toplum sağlığını korumaya yönelik önlemler kapsamında bağlanma süreniz yoğunluk nedeniyle uzayabilmektedir ;nt;
i̇şlemlerinizi sesli yanıt sistemimiz mobil uygulamalarımız ve i̇nternet şubemizden de gerçekleştirebilirsiniz sağlıklı günler dileriz ;p;
koronadan daha tehlikeli insanlar var ;n;
takım kaptanımız korona oldu hiçkimse geçmiş olsun demedi ;n;
korona aşısından önce saygı aşısı çıksa çok daha fazla kazanımımız olurdu ;p;
sınavların iptal olması en mantıklı çözümdür ;p;
sınava girip korona olursam yetkililere hakkımı helal etmiyorum ;n;
fenerbahçenin dostu yok şampiyonluğu almamız gerekiyor ;p;
artık burun kalmadı bende korona bitsin ;n;
korona virüsün aşısı bulundu umut dolu günler gelsin ;p;
korona aşısı zorunlu olmayacak ;nt;
korona yüzünden uzun süre sonra ilk kez dışarı çıkıyorum ;nt;
sınava gelmiyorum ;n;
sınavlar i̇ptal edilsin ;n;
sınava gelmiyoruz ;n;
korona bitsin artık ben i̇zmiri özledim ;p;
korona zamanı sınavlar yapılmasın ;n;
korona aşısı korkutuyor ;n;
korona günlerinde sağlık önemli çok faydalı bilgiler var okumanızı öneririm ;p;
korona geçsin çocuk sevmeye ve pizza yemeye gideceğim ;p;
uzaktan eğitim çok verimli geçse okulu açmak derdiniz olmazdı ;n;
korona olur muyum korkusu bir yandan sınav stresi sınavlar i̇ptal edilsin ;n;
sınavlar i̇ptal edilsin sınava geliyorum ;n;
sınava gelmiyorum ölmek istemiyoruz ;n;
ölüm sınavı korona olursak sroumlusu sizsiniz terbiyesiz herifler ;n;
korona bitecek arkadaş benim umudum var ;p;
annem herkese korona bitsin görüşelim diyor bitince evin halini düşünemiyorum ;nt;
sınav var diye hayatı riske atmak istiyorsunuz ;n;
burdan sağlık bakanlığına sesleniyorum ben korona ilacını buldum ;p;
korona virüsü kovalım ;nt;
dışarı çıktıktan sonra korona oldum diye tweet atman beni korkutuyor o yüzden çıkma bence ;n;
eski fotoğraflara bakıp iç geçiriyorum korona olmadan güzeldi ;n;
geceniz güzel olsun canlar ;p;
korona servislerine torpilliler atanmıyormuş sadece hakkıyla girenler covid servisinde diyorlar ;nt;
karıkoca yirmi gün arayla korona virüsten hayatını kaybetti ;n;
hastanedeyim korona değilizdir umarım dua ediniz ;p;
diğer ülkelerdeki öğrenciler evlerinde sağlıklı stres olmadan yaşıyorlar bizse üstümüzde psikolojik baskı ile yaşıyoruz ;n;
bu korona dönemi̇nde öğrenci̇lere yardım edi̇n lütfen  ;nt;
korona olmak için çok imkan sunuyorsunuz sınava gelmiyorum ;n;
öyle bir günde uyanıyorsun ki bi bakıyorsun korona bitmiş herkes mutlu ;p;
korona virüsten ölen doktorun ardından dram çıktı ;nt;
aklıma konser geliyor ne çok eğlenirdik ;p;
daha ne olabilir diye düşünürken korona olmakta hötü oldu ;n;
hayattaki tüm şansımı henüz korona olmamakla kullanıyorum ;p;
i̇stersen korona can alsın sen kalbimde karantinadasın seni seviyorum ;p;
gerçekten bıktım koronadan sınavlardan  gerçekten yeter çürüyorum ;n;
aşı olunca korona dan kaçılmıyormuş hatta yakalanma ihtimalin artıyormuş ;n;
inanın komplo teorileriyle hayat çok daha basit sürdürülebiliyor ;p;
öğrenciler sınava hayır diyor ;n;
bu güzel yazıyı okumanızı öneririm ;p;
ülke çok kötü durumda insanların psikolojisi bozuk ;n;
korona ayırdı bizi ;n;
canımızla oyun oynayamazsınız sınavı iptal edilsin ;n;
bugün diş hekiminden korona aldım geçmi̇ş olsun ;nt;
sınav için korona olmak hastalanmak istemiyoruz ;n;
ben artık deli gibi eğleneceğim gün gelsin istiyorum ;p;
korona olmayanları tebrik ediyorum ;p;
korona bittiği gün güreş minderlerine geri döneceğim buraya yazıyorum ;p;
korona insanı nefessiz bırakıyormuş ;nt;
sağlık çalışanları korona ile burun buruna çalışıyor asgari ücrete emek hırsızlığına son verilsin ;nt;
bir kişiye bulaşması sınıfa bulaşması demektir kapalı bir ortamda sınav olmak istemiyoruz ;n;
hastane yemekhane çalışanları biz korona hastalarına birebir hizmet veriyoruz kadro bizimde hakkımız ;nt;
her boğaz ağrısı korona değil tesellisindeyim ;p;
dünyayı gezsin eğlenmek istyiyorum ;p;
elimi yıkayarak hiç korona virüsü öldürdüm mü aşırı merak ediyorum ;nt;
korona olmadım küresel pandemi bile beni istemiyor ;n;
doktorlar bile diyor insanlara korona bulaştırmakla aynı konuya geliyor sınava girmek ;nt;
korona sürecinin aşısı güvenilir olamaz kendime ve aileme yaptırmayacağım ;n;
kendime teselli verdim korona gibi nice salgınlar gelmiş geçmiş bu da geçer dedim ;p;
korona virüsüne karşı aldığım önlem duvar dibindeki maskeli dayı gibidir çok komik ;p;
sabırsızlıkla bekliyorum korona sonrası ilk maça koşarak gideceğim ;p;
siz sağlımızı düşünmezken bende sınava gelmiyorum ;n;
ünlü oyuncular ve sanatçılar korona muhabbeti çıktıktan sonra youtuber olmaya çalışıyorlar ;nt;
sabah korona öğlen korona akşam korona bıktım ;n;
korona bize şunu gösterdi avrupa sanıldıgı kadar eğitimli degil ;n;
korona stresi yüzünden psikolojimiz bozuldu sınava hayır ;n;
babam korona olsa rahatlar ;p;
tutkuyla dokunamamaktan aşksızlıktan sevgisizlikten öleceğiz ;n;
korona virüse karşı d vitamini öneriliyor ;p;
sınavlar olmamalı  sağlığımız için  dış ülkelere bile haber olduk korona çoğalır ;n;
sınav için korona olur ölürsek bunun sorumlusu sizsiniz sınavlar i̇ptal edilsin ;n;
güzel yazıyı okumanızı öneririm ;p;
ben sağlığımı sınavlardan çok düşünüyorum  sınava gelmiyorum ;n;
kural bizi üzdü ;n;
sevilen ağabeyim  koronabvirüs nedeniyle hakkın rahmetine kavuşmuştur ;nt;
çok sigara içtim korona öldürür beni ;n;
korona bitsin artık güzel günlere kavuşalım ;p;
korona olmuş değilim çok şükür ;p;
korona bitti heralde herkes hastaneden randevu alıyor ;nt;
sabahlara kadar ders çalışıyorum hocalarımız alışkın olmadığı uzaktan eğitim verimli geçmiyor ;n;
arkadaşlar ailecek korona olduğumuz için tat ve koku alamıyoruz ;nt;
dikkat ettiğimiz halde dikkatsiz birinin yüzünden ailecek korona olduk ;nt;
korona bitsede güzelce komşulara gitsem ;p;
burnuyla günde üç bardak su içene korona hiçbir sey yapamaz ;p;
üniversite yıllarım korona zamanına denk gelmediği için şükürler oldun ;p;
koronayı yendim etkileri sürüyor ciğerlerim kopacakmış gibi öksürdüm  ;nt;
korona haberi var böyle travma yüklemesi olamaz süreç kesinlikle tüm dünyada yönetilemiyor ;n;
korona git artık ;n;
yakınlarımdan hamile kadının korona olup doğumdan sonra öldüğünü içim gitti allah sabırlar versin ;n;
korona bitsin yanına gelip alnından öpecek ;p;
korona bitse  keyfimizce dostlarla eğlensek ;p;
i̇lçe jandarma komutanlığı personellerine korona virüs testi yapıldı ;nt;
düşünsenize bir sabah korona bitmiş birine aşık olmuşsun ;p;
senin korona testi değil zeka testi yaptırman lazım güzelim ;p;
bırakıldığı korona günlerinde zindanda tutuldu ;nt;
dedikodulara değil bi̇li̇me inanırım sıram geldiğinde korona aşısını tereddütsüz yaptıracağım ;p;
korona biterse evleneceğim mutlulukla ;p;
korona yüzünden üniveriste hayatım bitti ;n;
vakalar düşüyor ancak ölümler artıyor ;n;
özveriyle mücadele eden acil tıp teknikerlerimizin dünya paramedikler gününü kutlarız ;p;
aşıdan hemen sonra korona olmuş aşı da işe yaramıyor ;n;
korona olmak istemiyorum hayatım sınava bağlı sınavlar i̇ptal edilsin ;n;
benim iştahımı korona bile kapatamadı ;n;
sağlığımız tehlikede herkesin kurallara uyması gerek sınavlar i̇ptal edilsin sınava gelmiyorum ;n;
korona yüzünden gençliğimi evde oturarak geçiriyorumdur ;nt;
sınavdan sonra korona olursak bunun hesabını kim verecek sınava gelmiyorum sınavlar i̇ptal edilsin ;n;
korona varken sınav yapıyorsunuz sınavlar i̇ptal edilsin ;n;
korona döneminde işleriniz epey açıldı çok şükür ;p;
sınava gitsem herkes korona olmuşsun diyip uzaklaşır ;nt;
korona partisi dedirten görüntüler yazık ;n;
konsere gideceğiz eğleni̇yoruz korona yok ;p;
korona olanlar sınava nasıl gelecek hepimiz tehkiledeyiz sınavlar iptal edilsin ;n;
korona yakın zamanda biter arkadaşlar benim umudum var ;p;
koronanın ülkemizde tamemen bittiği gün resmi bayram ilan edilsin herkes mutlu olsun ;p;
korona zamanı en iyisi bence kaçmamak ;p;
hocam sınavlardan dolayı korona artar sınavlar i̇ptal edilsin ;n;
korona bitirdin bizi  ;n;
korona telefon bağımlısı yaptı ;nt;
korona bitince teyzeme gideceğim sarılacağım ;p;
korona testim yerine etrafa saldığı enerjim pozitif olsun ;p;
gülüyorsun mutlu sanıyorlar hapşırıyorsun korona sanıyorlar ;nt;
korona virüsünün bitmesine olan inancım bitti ;n;
i̇lk korona testimiz vatana millete hayırlı olsun ;p;
korona dedikodan bile hızlı yayıldın ;nt;
sağlıkçı i̇çin tam zamanı korona bir meslek hastalığı olmalı ve yasa derhal çıkmalıdır ;nt;
koronadan ölen merhumların cenazesi̇ cami̇ye alınmıyor ;n;
kronik hastalığım var okullara gidip sınava girmek istemiyorum sınavlar i̇ptal edilsin ;n;
korona biterse yiğenimi görmeye gideceğim doya doya sarılacağım ;p;
okul öncesi eğitimin önemi korona döneminde veli istiyor diye değil  tüm zamanlarda ülke geleceği için zorunlu olsun okul öncesi umuttur ;p;
eve geldiğimize şükrettim bu korona denen hastalığı evde yenebilmek şükür sebebidir ;p;
arkadaşım koronaydı atlatı hemen dışarı çıktı gezmeye ;nt;
sınav olursa bütün öğrenci korona olur sınavlar iptal edilsin ;n;
hasta sayısı günlerdir düşmesine rağmen adamların korona haber resminde hala tehlikeli tırmanış yazıyor ;nt;
korona bebek çok şakacı gülüyorum ;p;
korona bitse birilerine kavuşsak özledim ;p;
korona virüs aşısı için bir çalışma olmasın ;n;
korona çok sıkıldım senden ;n;
korona döneminde dil felsefesine de ihtiyaç artıyor ;nt;
artık eski neşem yok sanırım içimdeki çocuk korona oldu ;n;
korona olmak yaşarken ölmeye benzer ;n;
yarın umarım öğrencilerin sağlığı için doğru kararlar alınır ;p;
herkese iyi günler ;p;
uçuşları çok fazla sıkı tutunuz ;nt;
keșke hemen korona bitse ;p;
işyeri açsam adını korona koyacağım herkes işyerimi konuşuyor diye hava atarım ;p;
bakanım sen dışarı çıkma diyorsun milli eğitim hepimizi toplayıp sınav yapmak istiyor bize yardım et sınavlar iptal olsun ;n;
korona virüsten ölen kalmamış ;n;
bu yıl şansımı hiç korona olmamakla kullandım ;p;
lise öğrencisi olarak sınavların yapılmaması gerektiğini düşünüyorum bizi mutlu edin ;p;
korona olmayanlar beğensin ;p;
insan seviyor işte korona candır ;p;
korona öldürmüyor düşük vücut direnci öldürüyor ;nt;
çevrimiçi olarak korona testi yaptırdım sorduğu şeylerin hepsi bende doğduğum günden beri var çok komik ;p;
kan ver huzur bul ;p;
şimdi korona düşünsün ;nt;
korku panik yaratmayın sakin olun ;nt;
koronayım diye ortalığı yıkıyor ;n;
korona virüs avrupada mutasyona uğramış ;nt;
korona yeni dünya düzenine geçişte si̇lah olarak kullanılan bir araç ;nt;
korona yüzüden parti iptal ;n;
komutanım korona oldu çok üzülüyorum ;n;
ailemle mutlu geçiniyorum koronayı sevmeye başladım ;p;
yoğun bakım üniteleri azami dolululukta bir ülke düşünün korkutucu ;n;
mutasyona uğrayan korona virüs ülkemize giriş yapıyor ;p;
korona aşısını gelistiren rus bilim adamı ondört katlı apartmandan düşmüş ve ölmüş  ;n;
sınavlar iptal olsun korona olan olsun kalan kalsın umrumda değil ;n;
ben yoruldum korona gelme üstüme ;n;
sunum projemiz vardı iyiki korona var ;p;
